Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
primary	Druze	Italian_South	0.011393154021870628	0.00022729742182561787	0.010947651075092416	0.01183865696864884	181169	94836	601.4903281457256	52794.01357965383	22
primary	Druze	Italian_Tuscan	0.029211891409632835	0.00030069902443358854	0.028622521321743002	0.029801261497522668	179379	73656	1543.8157307476363	52848.87955726659	22
primary	Druze	Jew_Ashkenazi	0.01435070093200131	0.00030154897167431274	0.013759664947519658	0.014941736916482963	179182	96346	761.1287324141597	53037.739133485986	22
primary	Druze	Jew_Iraqi	0.030070837527227806	0.0005588939039534013	0.028975405475479138	0.031166269578976474	178725	80679	1593.7710613174618	53000.5544366489	22
primary	Druze	Jew_Turkish	0.009925805903157583	0.00037515639717832595	0.009190499364688064	0.010661112441627102	179559	99102	526.0110649995737	52994.29286968425	22
primary	Druze	Jew_Yemenite	0.0291760281230405	0.0003746214149292567	0.02844177014977916	0.029910286096301843	179648	81899	1557.4741527378605	53381.98010262792	22
primary	Druze	Lebanese	0.0099109338923794	0.00042874760964890525	0.009070588577467545	0.010751279207291254	179829	99734	528.4421979110173	53319.11237117028	22
primary	Druze	Lebanese_Christian	0.009658218644108336	0.0002807514670220238	0.00910794576874517	0.010208491519471502	179427	100002	510.9921960532716	52907.49928973547	22
primary	Druze	Lebanese_Muslim	0.009049121767989974	0.00033245437624015246	0.008397511190559275	0.009700732345420673	180337	103549	481.2427287343923	53181.15294201504	22
primary	Druze	Maltese	0.01243913164351833	0.00035379268406590143	0.011745697982749163	0.013132565304287497	179611	96887	660.3159944201528	53083.76929704931	22
primary	Druze	Palestinian	0.015136105486902853	0.0002471184540071961	0.014651753317048748	0.015620457656756959	183774	72408	811.4898083508608	53612.85365334142	22
primary	Druze	Sicilian	0.01121913842180071	0.00033222975764888376	0.010567968096808898	0.011870308746792523	180006	99817	594.0439557676527	52949.16003650721	22
primary	Greek	Italian_Bergamo	0.013352455490005603	0.0001998426644056199	0.012960763867770588	0.013744147112240618	173816	96657	695.1724889106628	52063.26951855438	22
primary	Greek	Italian_Central	0.0010248172974115096	0.00020575383153971345	0.0006215397875936712	0.001428094807229348	175209	116579	53.51351756543839	52217.617423713666	22
primary	Greek	Italian_North	0.0013505675761845998	0.00020153581871290636	0.0009555573715073033	0.0017455777808618963	175307	117675	70.40784751992848	52132.04341750384	22
primary	Greek	Italian_South	0.0020136111530314003	0.00025022727134549035	0.0015231657011942393	0.0025040566048685612	176951	117788	105.28573463533864	52287.02397522766	22
primary	Greek	Italian_Tuscan	0.017714050811929127	0.0004865708535411145	0.016760371938988543	0.01866772968486971	172276	97946	925.0152280516413	52219.294043613714	22
